Teks,Bintang,Tanggal
serba premium hp aj masih kenttang 🗿😭,4,2025-08-24 20:24:58
terlalu bnyk iklan,3,2025-08-24 18:35:14
minus berbayar di aplikasi tersebut,5,2025-08-24 18:21:02
"banyak iklan, tapi lancar pas dipake, yahh standar lahh",4,2025-08-24 18:16:16
"bagus sii cuma iklan nya ga ngotak buat yg ga premium dengerin tiga lagu tiga iklan kikir banget pdhl dlu ga se kikir, ini kebelet haji ya?",1,2025-08-24 17:49:30
langsung tertidur,5,2025-08-24 17:25:29
lagunya bagus 🥰🥰,5,2025-08-24 17:19:54
sangat bermanfaat sekali,5,2025-08-24 17:18:20
bagus tapi kikir,3,2025-08-24 17:15:21
sangat bagus spotify,5,2025-08-24 17:07:04
"kebanyakan ngemis premium,jadi eneg dengernya",1,2025-08-24 16:59:18
apdet harus lebih baik Spotify aku udh download tiga kali -_-,4,2025-08-24 16:12:17
"Spotify kasih promo Rp29.900/3 bulan di aplikasi, mumpung ada promo mau ku ambil dh, karena baru pertama kali ini mau premium! tapi pas klik mau bayar malah error. Di website malah Rp59.900. Konsumen jadi bingung & kesannya cuma mancing. Tolong perbaiki sistem promo biar transparan!🥲🙄",2,2025-08-24 16:08:08
bagus,5,2025-08-24 16:02:09
jozz mantap,5,2025-08-24 15:53:24
iklannya jadi banyak ginii g kaya sebelumnya,3,2025-08-24 15:45:01
"kebanyakan iklan, padahal sebelum nya ga sebanyak ini maksa bngt premium njir, kebelet umroh ap gmn?",1,2025-08-24 15:33:05
"aplikasi busuk, baru ga berlangganan sekali aja iklan nya sampe 5 coy gada otak emg mending apple music kemana mana",1,2025-08-24 15:32:49
disinilah tempat ku melepas penat,5,2025-08-24 15:25:39
"Aplikasi ini sangat membantu menemani perjalanan saya di kendaraan dengan lagu lagu yang sesuai dengan selera saya, terima kasih telah mewarnai hidup ini dengan karya yang menginspirasi",5,2025-08-24 15:23:40
mantap!,5,2025-08-24 15:14:44
bagus,5,2025-08-24 15:09:48
bisa menikmati musik setiap saat,5,2025-08-24 15:07:40
mantap lagunya,5,2025-08-24 15:04:34
seru banget ihh 🤭,5,2025-08-24 15:00:19
guuud,5,2025-08-24 14:48:06
Ga seru cuk infes nya parah ini tentang etika bro,1,2025-08-24 14:34:16
aneh sekarang masak yang di stel playlist eh malah lagu lain yang engga masuk ke playlist yang ke putar,3,2025-08-24 14:29:27
gratis dan banyak lagi lagu yg lain,5,2025-08-24 14:21:45
mls banget kalo setiap video ada iklannya kenapa harus banyak si iklannya mendingan aplikasi sebelah,3,2025-08-24 14:18:07
"Sebellll bangett sama updatean terbaru yang bikin kalau ngedit playlist mau mindahin lagu ke paling atas jadi gak seresponsif dulu, akhirnya jadi lama terus bikin gak mood.",1,2025-08-24 14:14:31
baguss,4,2025-08-24 14:13:54
aplikasi ini sangat bagus,5,2025-08-24 14:12:37
ilangin iklannya masa harus premium,4,2025-08-24 14:06:52
Bagus,5,2025-08-24 14:05:34
Good,5,2025-08-24 13:58:20
sangat menghibur,5,2025-08-24 13:34:11
"maksa premium jir, stiap 1 Kali puter lagu, iklannya ga ngotak kadang sampe 4 kali setiap 1 kali lagu",1,2025-08-24 13:31:18
kerenn euyy,5,2025-08-24 13:29:38
spotify bisa membawaku ke masa muda,5,2025-08-24 13:28:48
"KEBANYAKAN IKLAN, shuffle nya ga variatif, mau ngeskip lagu juga ada batasannya, kadang ada lagu yang bener bener dibuat overplayed bgt sm aplikasinya",2,2025-08-24 13:28:35
"iklan terusssssss, baru lamaaaa😏😏 nyuruhhh kep premiummmm dikit² uklannnnn.aplikasi macam apa ini",1,2025-08-24 13:26:09
😍,5,2025-08-24 13:24:17
🥰,5,2025-08-24 13:21:06
aplikasi penipuan dan pemerasan saya tidak menerima langganan paket dan untuk menghapus nya Sulit sekali d kunci ini aplikasi merugikan setiap setengah bulan sekali saya selalu kehilangan saldo rekening saya mohon di perhatikan dan d perbaiki saya rugi dan saya tidak pernah memakai aplikasi ini selalu d Potong terus saldo rekening saya,1,2025-08-24 13:12:14
ga ada lagu bogat toigunya ga asik,1,2025-08-24 13:03:26
jangan download maksa banget suruh beli yg premium kalo g beli lagunya ngacak gw pilih yg mana eh di kasihnya yg mana aneh,1,2025-08-24 12:55:09
asyik,4,2025-08-24 12:54:37
banyak iklan,3,2025-08-24 12:45:24
KEREN,5,2025-08-24 12:45:08
Cocok untuk orang sad,5,2025-08-24 12:44:26
i love Spotify,5,2025-08-24 12:40:50
boleh boleh,4,2025-08-24 12:23:28
Aplikasi yang sangat bagus,5,2025-08-24 12:05:08
"mempunyai lagu""yang bgus",5,2025-08-24 12:04:44
"bagus bgtt, bisa streaming dibelakang layar, terus banyak playlist yang seruu poll",5,2025-08-24 12:04:12
"semua lagu ada disini, gratis pula",5,2025-08-24 12:02:08
"sebenarnya sih bagus, cuma kebanyakan iklannn. belum ada satu lagu keputar tiba-tiba iklan",4,2025-08-24 11:58:04
"👍, mantap, bgs bgt",5,2025-08-24 11:53:03
iklan 99% musik1% kocak nih apk,1,2025-08-24 11:31:10
Bisa mendengarka banyak lagu,5,2025-08-24 11:28:15
bgusss,5,2025-08-24 11:24:30
iklan trs anj,1,2025-08-24 11:17:38
"pilihan musiknya secara random, milih lagunya ngga enak terus itu itu aja lagunya yang di puter",1,2025-08-24 11:16:47
siapa yang ga tau spotify,5,2025-08-24 11:15:57
menyenangkan bisa di headphone dan bisa buat main game,5,2025-08-24 11:12:11
enak enak lagunya,5,2025-08-24 10:38:07
mending langganan YouTube bisa dengar lagu video dan bisa di matiin lagu ttp nyala terus murah juga Spotify mahal bangke,1,2025-08-24 10:37:39
"parah, baru klik lngsng iklan habis 1 lagu iklan dan seterusnya",1,2025-08-24 10:33:09
Najiss dikit² harus premium apaan coba mending aplikasi sebelah sih kata gw mah😹,2,2025-08-24 10:27:47
bagus banget untuk bermain game dan lagi di jalan banyak lagu keren aku suka,5,2025-08-24 10:23:23
"apaan, aplikasi isinya iklan, suruh langganan premium, mw skip harus premium, iklan segunung, mau putar musik jg harus premium, apaan cba, saya kasih bintang 5 biar kalian lihat, bukannya apa ya, tp berlebihan bgt, skip lagu aj hrus premium, kritik yg jujur, yg bener, ini opini saya ya, berlebihan ini itu d suruh premium.",5,2025-08-24 10:19:29
memuaskan,5,2025-08-24 10:18:31
Sangat sangat bagus,5,2025-08-24 10:06:39
"apasih mau beli premium tapi tiap transaksi gagal, tolong perbaiki!!!!",2,2025-08-24 10:04:55
"makin pelit ga bisa liat lyric dan klik lagu harus premium dulu, iklannya panjang banget",2,2025-08-24 10:03:04
satu kali lagu iklan satu kali lagu iklan lg jadi males apus aja udah,1,2025-08-24 09:58:04
apik iki aku wae ketagihan dengeri lgu WENAK POLL😜👈,5,2025-08-24 09:54:58
Udah enak semua cuma masa cuma pengen dengerin lagu sesuai urutan harus bayar harus nya yang gratis yang sesuai urutan + terlalu menekankan premium mau nyetel lagu malah di suruh langganan premium buat dengerin lagu kapan saja dimana saja aku cuma pengen dengerin lagu doang woi😭😭😭,2,2025-08-24 09:47:59
nice,5,2025-08-24 09:38:33
bisa dengar lagu,5,2025-08-24 09:37:18
bagus juga tapi saran saya kurangi iklan nya ya,4,2025-08-24 09:30:42
sangat bagus,5,2025-08-24 09:24:53
😍,5,2025-08-24 09:23:14
bagus tapi emang ga bisa offline ya,5,2025-08-24 09:13:45
aplikasi ini jelek jadi saya kasi bintang 5,5,2025-08-24 09:02:30
bagus bangeeeeeeeettttt,5,2025-08-24 08:58:07
kebanyakan iklan bangkw,2,2025-08-24 08:45:18
"Terlalu banyak iklan, baru mutar satu lagu langsung iklan lagi, malahan iklan bisa sampai 5 kali kalau mau dengerin musik",3,2025-08-24 08:42:42
minimal meminalisir iklan yang bukan non premium lah kasian amat yg non premium dikasih 3 iklan padahal baru puter 1 lagu,1,2025-08-24 08:42:00
"banyak banget iklan nya, lambat pokoknya ini aplikasi terburuk yang saya pernah jumpai. burik 👎🏻👎🏻👎🏻",1,2025-08-24 08:31:37
"tolong dong adain liriknya, stiap putar lagu selalu gada liriknya",3,2025-08-24 08:27:46
ok goood,5,2025-08-24 08:17:57
pokoknya aplikasi ini baguss bgt 😁😁👌,5,2025-08-24 08:13:18
senang hiburan joget bahagia,5,2025-08-24 08:01:26
best music 👍👍👍👍👍,5,2025-08-24 07:56:39
sangat seru,5,2025-08-24 07:51:04
iklan nya makin banyak ada ga masuk ke artis berapa persen...wkkwkwkw,5,2025-08-24 07:44:40
top 👍,5,2025-08-24 07:43:01
bagus,5,2025-08-24 07:24:13
"iklannya ngebug, setiap ganti lagu pasti ada iklan, dan iklannya ngestuck gk jalan jalan. Tidak bisa ganti lagu sama sekali",2,2025-08-24 07:19:09
IKLAN MULU KOTNOL,1,2025-08-24 07:17:53
"padahal menurut aku rekomended si but sekarang gedeg bangett gila, iya tau akunya gratisan tpi kan jangan berbatas juga laah",1,2025-08-24 07:11:19
sangat puassssssss,5,2025-08-24 07:03:03
😁😁,4,2025-08-24 07:02:19
sukaaaa,5,2025-08-24 06:49:15
kerennn,5,2025-08-24 06:49:06
aplikasinya bagus apalagi kalo lagi joging bisa sambil dengerin lagu walaupun hp mati,5,2025-08-24 06:48:34
bagus😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,5,2025-08-24 06:48:25
"teman kerja, lumayan lengkap",5,2025-08-24 06:45:14
pas dengerin lagu untuk kerja,5,2025-08-24 06:40:52
terlalu sering iklan,3,2025-08-24 06:38:28
The Best,5,2025-08-24 06:35:23
mantap,5,2025-08-24 06:34:31
woi bisa nggak dihilangin iklannya soalnya lebih banyak iklannya daripada lagunya,2,2025-08-24 06:30:31
bguss,5,2025-08-24 06:30:25
sangat bagus untuk menyantai,5,2025-08-24 06:25:31
"gᥙᥲᥲ 𝗍ᥲᥒᥡᥲᥲ, sіᥲ⍴ᥲᥲ ᥡᥲᥒgg ⍴ᥱr𝗍ᥲmᥲ kᥲᥣі ᥒgіძᥱ ᑲᥙᥲ𝗍𝗍 іkᥣᥲᥒ!? ᥲһkk, gᥱrᥲm ᥒᥡᥲᥲ 🤬🤬",4,2025-08-24 06:20:26
ok,5,2025-08-24 06:19:04
kalau putar lagu di aplikasi ini kena royalty nggak sih ?,5,2025-08-24 06:14:58
apl no 1 ..gas..lah terus tingkat Kan👍👍👍,5,2025-08-24 05:56:24
Cocok buat santai Top banget,4,2025-08-24 05:50:13
iklanya kurang panjang tood. mending apk sebelah,1,2025-08-24 05:40:22
Sipp bgttt apk nyaa buat dengerin laguuu,5,2025-08-24 05:33:32
taraaaapeeiiiii oke bangat,5,2025-08-24 05:29:37
Terima kasih telah mengembalikan uang ku sukses selalu,5,2025-08-24 05:17:42
"lagu² yang ada di apk nya bagus tpi knpa blkngan keluar aplikasi masuk aplikasi lain lagu nya mati ya, padahal sebelumnya ga ada masalah² kyak gini",3,2025-08-24 05:17:21
"lengkap, anjay lengkap",5,2025-08-24 05:00:15
"seruu bgt buat orang galauu cocokk buat download apk ini siehh, tapi katanya juga bisa mainin ular"" di spotify tapi pas aku cek gaadaa , kenapa ya? tolong dijawab yaa",4,2025-08-24 04:52:01
mantap👍,5,2025-08-24 04:50:48
Okelahh broo...,5,2025-08-24 04:48:34
bagus,5,2025-08-24 04:46:14
bagus buat musikan pas dan lengkap juga di Spotify ini,5,2025-08-24 04:33:50
mantap dan luar biasa,5,2025-08-24 04:29:39
"bagus,tapi tolong dong kalo muter playlist berurutan sama lagunya lah,Jan acak",4,2025-08-24 04:28:00
bagus,5,2025-08-24 04:23:03
sfotify ini sangat bgus bisa mendengarkan lagu sambil bermain game aku kasih five /5,5,2025-08-24 04:00:50
"bagus,banyak musik yg bisa kita dengar.",5,2025-08-24 03:51:39
bagus sekali,5,2025-08-24 03:47:47
𝗯𝗴𝘀 𝗯𝗻𝗴𝘁 𝗲𝗻𝗮𝗸 𝗱𝗶 𝗱𝗲𝗻𝗴𝗲𝗿𝗶𝗻 𝗹𝗮𝗴𝘂²𝗻𝘆𝗮 𝗺𝗲𝗻𝘂𝗿𝘂𝘁 𝗸𝘂 𝗺𝗶𝗻𝗲𝘀𝗻𝘆𝗮 𝗰𝘂𝗺𝗮𝗻 𝗱𝗶 𝗶𝗸𝗹𝗮𝗻𝘆𝗮 𝗮𝗷𝗮 𝘆𝗻𝗴 𝗹𝗮𝗶𝗻𝘆𝗮 𝗴𝗸,5,2025-08-24 03:37:54
keren banget deh,5,2025-08-24 03:34:17
"iklanya makin hari ,semakin ngga ngotak",1,2025-08-24 03:25:04
Mantap,5,2025-08-24 03:20:06
aplikasi yg bgus,5,2025-08-24 03:16:02
lagunya enak enak semua,5,2025-08-24 03:09:37
maksa dowload padahal mau buka capcut apus aja tuh,1,2025-08-24 03:04:00
keren,5,2025-08-24 03:03:42
"layanan bagus, audio musik mulus",5,2025-08-24 02:53:37
bagus,5,2025-08-24 02:30:47
Keren banget bisa dengerin musik sambil ngegame musiks nya juga banyak bangett pokonya the best lahh,5,2025-08-24 02:26:08
saya sangat suka dengan aplikasi ini karena itu saya beri bintang lima,5,2025-08-24 02:21:54
Asik¹ Musik nya,5,2025-08-24 02:16:52
bagus,5,2025-08-24 02:11:34
keren,5,2025-08-24 02:01:29
"aku gak tau mau komentar apa soalnya emang bagus aplikasi ini, gak ada minus nya, palingan minus nya cuma 1 yaitu premium tapi.. walaupun gak premium juga gak di paksa beli premium kaya aplikasi lain, i love youuu ^o^",5,2025-08-24 01:38:05
mantap,1,2025-08-24 01:32:37
ya saya sangat suka musik spotify,5,2025-08-24 01:24:06
iklanya lebih dari 1,1,2025-08-24 01:23:09
apaan si music nya di batas mana sedikit lagi,1,2025-08-24 01:22:16
bagus bangett kalau hp mati ttp bisa denger lagunya dan juga bisa sambil buka aplikasi lain kecuali YouTube bisa denger lagunya!!,5,2025-08-24 01:21:56
"terlalu banyak iklan, coba kurangi iklanya🙏",4,2025-08-24 01:13:59
bagus,5,2025-08-24 01:08:46
kebanyakan iklan,1,2025-08-24 00:47:41
plis banyak bgt iklan nya,5,2025-08-24 00:46:23
senang dan sangat baik,5,2025-08-24 00:38:13
kadang mutar musik sendiri,2,2025-08-24 00:23:24
bisa sih tapi selalu kehalang iklan dan agak buruk jugaa,4,2025-08-24 00:14:26
"baik ,saya suka aplikasi ini , saya bisa tidur dengan nyenyak sambil dengerin lagu",5,2025-08-24 00:06:11
bagus,5,2025-08-23 23:57:47
wah ternyata ini bagus ya saya kasih 5 bintang soalnya bisa bantu saya tidur,5,2025-08-23 23:19:00
"Kenapa sebagian dari lagu tidak ada liriknya? , kan jadi nya ga bisa melihat lirik yg mau dinyanyikan itu😠",3,2025-08-23 23:16:14
mantab,5,2025-08-23 23:13:44
spotify nya bagus bangett,5,2025-08-23 23:10:36
bagus,5,2025-08-23 23:08:35
Mantap,5,2025-08-23 23:02:58
sukaaa sekali,5,2025-08-23 23:00:33
"jujur udah bagus sih, bisa dengerin musik wlaupun kluar dari aplikasi. hanya saja fitur download offline nya kenapa berbayar ya? tolong fitur itu jangan berbayar dong🙏",4,2025-08-23 22:31:42
tolong di hilangkan iklan nya,5,2025-08-23 21:21:25
"perasaan mau dengerin music dah ,bukan mau dengerin iklan !",1,2025-08-23 21:17:35
banyak ikan nyaa,1,2025-08-23 20:10:41
teman setia mendengarkan musik komplit,5,2025-08-23 19:12:37
mantap,5,2025-08-23 18:57:11
bisa digunakan untuk teman saya dimana dan kpn saja,5,2025-08-23 18:50:04
hanya iklan nyebelin selebihnya gk ada,5,2025-08-23 17:43:18
sangat suka,5,2025-08-23 17:42:41
"sangat bagus tapi iklan nya lama,🤭",5,2025-08-23 17:34:12
apk yang bagus untuk mendengarkan music,5,2025-08-23 17:30:20
aplikasi suka ngebug,1,2025-08-23 17:25:56
app yang sangat membantu saat sepi di perjalanan tapi semenjak premium mini di hapus jadi bingung untuk berlangganan 1 bulan terlalu lama jadi saya harap bisa aktifkan lagi premium mini,3,2025-08-23 17:12:09
pelit sekarang mah uekkk,1,2025-08-23 16:51:54
bagus banget,5,2025-08-23 16:51:01
aplikasi music yang sangat keren menurut saya,5,2025-08-23 16:27:02
good,4,2025-08-23 16:19:39
bgus tpi bnyak iklan,4,2025-08-23 16:17:07
bagus sekali,5,2025-08-23 16:13:31
ganggu banyak iklan,2,2025-08-23 16:11:48
"Mantab, seru, asikkk",5,2025-08-23 15:26:16
aplikasi ini cukup baik,5,2025-08-23 15:09:52
mantap,5,2025-08-23 14:44:05
"ini emg kebanyakan iklan apa gmn?,1 lagu iklan terus anjerr,jd ga nyaman lo",1,2025-08-23 14:26:29
"mutar musik secara online di pilih, harus peremium lawak, kebelet haji",1,2025-08-23 14:07:25
bagus banget lagunya aku suka sekali 😍😍🥰😍😍😍😏😏😏😍😍🥰😍🥰😍🥰🥰🥰🥰😍🥰😍🥰😍🥰😍🥰😍🥰🌈🌈🌈🌈🌈🌈🌈🌈🌈💰💰💰💰💰💸💸💸💸❤️❤️❤️❤️❤️❤️❤️,5,2025-08-23 14:07:19
"sebenarnya ini app bagus, hanya saja saya yang sudah lama memakai Spotify merasa cukup resah dengan iklan, iklan nya terkesan memaksa saya untuk membeli fitur premium, setiap 3-4 lagu pasti ada iklan dan iklan tersebut ada dua, jika di bandingkan dengan yang masih baru beberapa bulan membuat akun spotify, mereka hanya ada satu iklan",2,2025-08-23 14:03:36
dikit dikit premium,1,2025-08-23 14:03:21
tes dulu,5,2025-08-23 14:00:13
spotify sangat bagus banyak pilihan lagu nya debes lah,5,2025-08-23 13:57:38
lagunya semua enakeun,5,2025-08-23 13:50:09
bagus banget ya Makasih,4,2025-08-23 13:46:55
keren,5,2025-08-23 13:44:49
enak bisa dengerin lagu gak usah dari youtube dengerin lagunya,5,2025-08-23 13:35:37
lebih hemat,5,2025-08-23 13:35:04
"bagus banget, jadi bisa masak and yang lain' nya sambil dengerin Spotify",5,2025-08-23 13:34:18
"ga jelas lagu tiba² suka mati sendiri berkali², berulang², iklan numpuk, dengerin musiknya cuman 2-3 menit doang sisanya iklan ama bug mati sendiri lagunya",1,2025-08-23 13:31:03
lagu apa yang di pencet apa yng kluar di suru hpremium kalok gk mau kayak gtu,1,2025-08-23 13:29:04
nice brohhh,5,2025-08-23 13:18:19
sampah terlalu banyak iklan buat user gratis,1,2025-08-23 13:12:08
"coba dulu, klo bisa offline muter musiknya yang disimpan di favorit baru ku tambah bintangnya lagi.",4,2025-08-23 13:05:34
"plis ini gue harus ngeluh banget sama Spotify ya, gue akhir akhir ini sering denger lagu ya, terus pas gue ngidupin lagunya setelahnya pas gue mau ganti lagu iklan kayak setiap ganti lagu padahal dulu ga kayak gitu contohnya gue ngidupin lagu wayv setelah lagunya selesai gue setelahnya pengen denger lagu wayv yang lain kan tapi pas gue ganti iklan begitu seterusnya, tapi gue juga karena ga beli Spotify premium , tapi dulu ga kek gini sekali putar langsung iklan lagi😭😭",3,2025-08-23 12:54:35
sangat bagus,5,2025-08-23 12:51:44
selalu stay tone,5,2025-08-23 12:44:34
Spotify music sangat menyenangkan dan mudah mencari lagu2 yg kita inginkan.,5,2025-08-23 12:42:42
"udh 2 tahunan pake Spotify tapi baru sekarang rasanya kesel bngt, aku mau beli premium individual tanpa pajak selalu error, dikit2 harus periksa jaringan lah, pengaturan lah, terpaksa harus beli yang mahal, perbaiki dikit lah astaga.",2,2025-08-23 12:40:35
aplikasinya bagus bngtt,5,2025-08-23 12:32:27
nice,5,2025-08-23 12:26:47
apk yang sangat bagus,5,2025-08-23 12:25:11
asik dan menarik,5,2025-08-23 12:03:17
bagus aku suka cuman boleh nda kurangi iklan nya,5,2025-08-23 11:57:32
anu spotify maap🗿🙏🏻hp ku ngelag bgt jadi ku unistal mulu tapi tolong yah munculin lagi daftar pake no telpon🗿🙏🏻soalnya aku gabisa pake no telpon gara gara unistal mulu🙏🏻🗿tolong yah pihak spotify🗿🙏🏻,5,2025-08-23 11:53:42
apk nya udh bgus sih tapi kurangin dikit dong iklan nya..,3,2025-08-23 11:52:29
bagus banget aplikasi nya TPI kenapa setiap mau pilih lagu ad iklan nya,5,2025-08-23 11:50:48
bagus aja sihh,5,2025-08-23 11:47:40
langsung aja kasi 4,4,2025-08-23 11:43:39
iklan terus,3,2025-08-23 11:42:10
bagus,4,2025-08-23 11:39:57
baguss lengkap juga,5,2025-08-23 11:38:51
bagus,5,2025-08-23 11:25:56
kembalikan premium mingguan woe,4,2025-08-23 11:12:57
"shuffle nya bukan kaya shuffle, maksudku dia gak bener bener random, kadang lagunya itu itu aja yang di putar berkali kali, dan lagu yang lama terus yang keputar di playlist",3,2025-08-23 10:58:51
bagus,5,2025-08-23 10:55:55
"tiap ganti musik wajib iklan 1 menit,kurang ajar emang 😂",2,2025-08-23 10:49:40
maaf ya tapi iklan nya kebanyakan. Iklannya bisa 3 sampe 4 kali berturut-turut dan itu sering banget😮‍💨,3,2025-08-23 10:44:53
"kalau bisa setiap 1 menit kasih iklan jadi lagu belum abis kasih iklan dulu baru lanjut lagu 1 menit iklan lagi, klo bisa gitu aja... tolol emang iklan terus",1,2025-08-23 10:21:21
ada iklan nya padahal katanya gak ada iklan tapi ap? ko ad iklan? lwck terus juga kadang-kadang gak bisa di putar lagu apa yang kita mau,1,2025-08-23 10:11:47
keren musiknya lengkap semua,5,2025-08-23 10:08:07
"makin kesini,spotify makin kikir jirr. ya kali mau milih lagu yang mau diputer doang harus premium?mending gwe pake resso ajah. ayo guys,boikot spotify",2,2025-08-23 09:58:15
"aku suka musik, tapi terlalu banyak iklan",5,2025-08-23 09:57:55
"Terlalu banyak untungnya ni aplikasi, kira kira bayar pajak ga, pertama bayar waktu downlot, ada premium lagi, lagu yg pertama di putar gratis, klu kita putar sampai ber ulang, tuh lagu jadi premium,,, Pihak sporty sama saja telah menjual hak cipta lagu, apa kah pihak sporty bayar royalty perlagu itu???? Sporty tlah mengambil keuntungan sepihak apa bilah tidak bayar royalti , pencipta lagu dan penyayinya,,, tolong jelaskan kepada pijak pihak yg menggunakan sporty, legal kah????",1,2025-08-23 09:48:58
keren 👍🏻deh jadi bisa temenin✨ belajar 🙇🏻‍♀️📒,5,2025-08-23 09:39:54
bagus,5,2025-08-23 09:31:33
"aplikasi rusak dikit"" langganan",1,2025-08-23 09:26:35
bagus,4,2025-08-23 09:25:10
bagusss bangett,5,2025-08-23 09:24:54
👍,5,2025-08-23 09:24:01
mantap banget,5,2025-08-23 09:20:50
"spotify 2025 udh kurang wort it buat pengguna free, setiap 1 lagu 2-3 iklan, siklusnya= lagu-iklan-lagu WKWK baru play 1 lagu langsung di serbu 3 iklan dst.",1,2025-08-23 09:20:22
bagus banget wok😹🤭,5,2025-08-23 09:14:18
selalu ada iklan yang stuck jadi gak bisa dengerin musik,1,2025-08-23 09:08:57
"Apk nya bagus sihh, cuma masih banyak lagu yang saya cari GK ada di aplikasi ini, nambah hari nambah banyak iklan",1,2025-08-23 09:03:36
mantap,5,2025-08-23 09:02:49
bagus banget aseli inimah no fek fek,5,2025-08-23 08:56:32
bagus,5,2025-08-23 08:53:10
aplikasi music terbaikkk,5,2025-08-23 08:47:52
Bagus banget jadinya aku kalo mau dengerin musik sambil main game jadinya jadi bisa,5,2025-08-23 08:43:07
nice,5,2025-08-23 08:37:58
manttaaaapp,5,2025-08-23 08:34:27
bagus,5,2025-08-23 08:33:57
iklan mulu,1,2025-08-23 08:31:32
bagus,5,2025-08-23 08:28:06
Terlalu banyak iklan/iklan yang lebih sering,1,2025-08-23 08:17:38
Like,5,2025-08-23 08:17:38
bagus sih recommended aku suka aplikasi nyaa,5,2025-08-23 07:52:17
bgus,5,2025-08-23 07:45:04
sampah... berharap orang2 pada beli premium make cara numpuk iklan banyak2,1,2025-08-23 07:42:07
bagus,5,2025-08-23 07:41:22
mau denger lagu aja iklan nya 7x,5,2025-08-23 07:40:50
"seru,galau,sedih,senang pun ada lagu nya bagus🫵👍",5,2025-08-23 07:36:23
mantap,5,2025-08-23 07:35:34
sangatt cocok untuk di perjalanan jauh,5,2025-08-23 07:33:51
kerenn,5,2025-08-23 07:31:49
musik ini asik sekali sumpah macem macem lagu ada dispotify semua CTH:kalian mau dengerin lagu kesukaan kalian ada disiini semuanya,5,2025-08-23 07:26:30
saya suka dengan Spotify karena semua musik ada di situ kalo saya mau mendagarkan musik dingal cari di pencarian,5,2025-08-23 07:25:27
baguss bgttt,5,2025-08-23 07:24:02
waktu aku mau muter lagu yang aku mau malah ada tulisan harus premium kalau mau muter lagu kapan aja💔 apa² premium mau denger lagu doang gih,4,2025-08-23 07:23:23
👍,5,2025-08-23 07:17:32
keren,5,2025-08-23 07:07:35
lagunya enak banget di dengarkan,5,2025-08-23 06:46:40
aplikasi nya bagus sekali,5,2025-08-23 06:32:21
jelek lagunya banyak yg gak ada di pencarian👎,1,2025-08-23 06:27:32
👌,5,2025-08-23 06:18:02
banyak iklan,1,2025-08-23 06:08:11
udah bagus tapi cuman banyak iklan aja dan harus masuk ke premium biar gk ada iklannya,4,2025-08-23 06:00:23
"iklannya berlebihan, aku tau ini free tp masa tiap lagu langsung iklan kan ga nyambung. kita muter lagu biar relax malah nambah stres",1,2025-08-23 05:49:18
tapi banyak iklan ajaa,5,2025-08-23 05:32:51
bagus abiss enaken lagu nya,5,2025-08-23 05:32:07
bagus tapi kadang gak ada liriknya,4,2025-08-23 05:11:30
sangat bagus ☺️😊,5,2025-08-23 04:45:19
kebanyakan iklan!!!,1,2025-08-23 04:34:31
bagus sekai kalo nilai saya 999+/10,5,2025-08-23 04:32:34
bagus banget aku suka,5,2025-08-23 04:32:28
bagus👌,5,2025-08-23 04:20:23
mantap,5,2025-08-23 04:11:51
intinya kalo mau dengar lagu disini juga bisa,5,2025-08-23 04:03:39
nice app,5,2025-08-23 04:01:28
iklannya menggila gess,1,2025-08-23 03:56:32
"akun ku gk bisa di bikin dan kata sandinya selalu salah,aku bikin akunnya seharian dan hasilnya gk ada.",1,2025-08-23 03:55:02
sangat memvantu,5,2025-08-23 03:47:08
keren,5,2025-08-23 03:10:14
great music app,5,2025-08-23 03:09:58
Mantap,5,2025-08-23 03:06:02
spotify sngat lah bgus,5,2025-08-23 03:04:49
sangat bagusss,5,2025-08-23 03:04:44
lopyuuu spotify🫰🏻🫰🏻🫰🏻🤍🤍🤍🤍🤗,5,2025-08-23 03:02:47
bagus dan sangat membantu,5,2025-08-23 03:01:47
nice,5,2025-08-23 02:47:29
"di sini lagu nya bagus"" dah lengkap aku suka banget👍",5,2025-08-23 02:44:31
ini lagu lagunya baguss banget,5,2025-08-23 02:35:28
mantap,5,2025-08-23 02:22:14
knp skrng ga ada paketan mingguan 😭,3,2025-08-23 01:47:00
sangat bagus tali terlalu mahal premiumnya,5,2025-08-23 01:45:57
like,5,2025-08-23 01:41:07
"spotify aplikasi buat dengar musik yang baik. namun yang buat kesal kadang kadang bau dengar musik 1,iklan nya langsung 2. tapi Spotify tetap the best lahh 🫶🫶",5,2025-08-23 01:30:12
terlalu banyak iklan.,1,2025-08-23 01:26:44
iklan nya eoi,1,2025-08-23 01:19:58
"kebanyakan iklan, dikit dikit iklan,👎👎",5,2025-08-23 01:18:00
sangat memuaskan,5,2025-08-23 01:09:11
dengerin lagu di sini enak banget bisa sambil buka aplikasi yang lain jadi lebih gampang kalau mau buka aplikasi yang lain sambil ngedengerin lagu aku rekomen banget spotify ini soalnya bagus banget👍👍,5,2025-08-23 01:07:55
saya suka banget spotify bisa dnger lagu yg kita ingatkan ada semua.,5,2025-08-23 00:50:46
suka bangatt kalo dengar lagu lewat apk ini semua lagu ada deh🥰😅🫣,5,2025-08-23 00:41:33
bagus,5,2025-08-23 00:32:19
musik nya banyak,4,2025-08-23 00:23:21
